code,       Unicode,    encoding,           description,                                                    status
identity,   U+0000,     none,               (no base encoding),                                             reserved
0,          U+0030,     base2,              binary (01010101),                                              experimental
1,          U+0031,     none,               (no base encoding)                                              reserved
7,          U+0037,     base8,              octal,                                                          draft
9,          U+0039,     base10,             decimal,                                                        draft
f,          U+0066,     base16,             hexadecimal,                                                    final
F,          U+0006,     base16upper,        hexadecimal,                                                    final
v,          U+0076,     base32hex,          rfc4648 case-insensitive - no padding - highest char,           experimental
V,          U+0056,     base32hexupper,     rfc4648 case-insensitive - no padding - highest char,           experimental
t,          U+0074,     base32hexpad,       rfc4648 case-insensitive - with padding,                        experimental
T,          U+0054,     base32hexpadupper,  rfc4648 case-insensitive - with padding,                        experimental
b,          U+0062,     base32,             rfc4648 case-insensitive - no padding,                          final
B,          U+0042,     base32upper,        rfc4648 case-insensitive - no padding,                          final
c,          U+0063,     base32pad,          rfc4648 case-insensitive - with padding,                        draft
C,          U+0043,     base32padupper,     rfc4648 case-insensitive - with padding,                        draft
h,          U+0068,     base32z,            z-base-32 (used by Tahoe-LAFS),                                 draft
k,          U+006b,     base36,             base36 [0-9a-z] case-insensitive - no padding,                  draft
K,          U+004b,     base36upper,        base36 [0-9a-z] case-insensitive - no padding,                  draft
z,          U+007a,     base58btc,          base58 bitcoin,                                                 final
Z,          U+005a,     base58flickr,       base58 flicker,                                                 experimental
m,          U+006d,     base64,             rfc4648 no padding,                                             final
M,          U+004d,     base64pad,          rfc4648 with padding - MIME encoding,                           experimental
u,          U+0075,     base64url,          rfc4648 no padding,                                             final
U,          U+0055,     base64urlpad,       rfc4648 with padding,                                           final
p,          U+0070,     proquint,           [PRO-QUINT],                                                    experimental
Q,          U+002F,     none,               (no base encoding)                                              reserved
/,          U+002F,     none,               (no base encoding)                                              reserved
🚀,         U+1F680,    base256emoji,       base256 with custom alphabet using variable-sized-codepoints,   experimental
